Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Role played by Owner or Manager in Facility,Owner Type,Owner Name,Ownership Percentage,Association Date,Location,Processing Date
105001,LAKE EUSTIS HEALTH AND REHABILITATION CENTER,411 W WOODWARD AVE,EUSTIS,FL,32726,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,FLORIDA FACILITIES LLC,1,since 11/01/2008,"411 W WOODWARD AVE,EUSTIS,FL,32726",44228
105001,LAKE EUSTIS HEALTH AND REHABILITATION CENTER,411 W WOODWARD AVE,EUSTIS,FL,32726,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"BARROW STREET REAL ESTATE FUND III, LP",NO PERCENTAGE PROVIDED,since 06/30/2010,"411 W WOODWARD AVE,EUSTIS,FL,32726",44228
105001,LAKE EUSTIS HEALTH AND REHABILITATION CENTER,411 W WOODWARD AVE,EUSTIS,FL,32726,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,BSREF III PARALLEL INVESTOR  II LP,NO PERCENTAGE PROVIDED,since 06/30/2010,"411 W WOODWARD AVE,EUSTIS,FL,32726",44228
105001,LAKE EUSTIS HEALTH AND REHABILITATION CENTER,411 W WOODWARD AVE,EUSTIS,FL,32726,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,BSREF III PARALLEL INVESTOR I LLC,NO PERCENTAGE PROVIDED,since 06/30/2010,"411 W WOODWARD AVE,EUSTIS,FL,32726",44228
105001,LAKE EUSTIS HEALTH AND REHABILITATION CENTER,411 W WOODWARD AVE,EUSTIS,FL,32726,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,BSREF III PARALLEL INVESTOR III LP,NO PERCENTAGE PROVIDED,since 06/30/2010,"411 W WOODWARD AVE,EUSTIS,FL,32726",44228
105001,LAKE EUSTIS HEALTH AND REHABILITATION CENTER,411 W WOODWARD AVE,EUSTIS,FL,32726,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GCH MANAGEMENT SERVICES LLC,NO PERCENTAGE PROVIDED,since 11/01/2008,"411 W WOODWARD AVE,EUSTIS,FL,32726",44228
105001,LAKE EUSTIS HEALTH AND REHABILITATION CENTER,411 W WOODWARD AVE,EUSTIS,FL,32726,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GULF COAST HEALTH CARE HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 06/30/2010,"411 W WOODWARD AVE,EUSTIS,FL,32726",44228
105001,LAKE EUSTIS HEALTH AND REHABILITATION CENTER,411 W WOODWARD AVE,EUSTIS,FL,32726,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GULF COAST HEALTH CARE LLC,NO PERCENTAGE PROVIDED,since 11/01/2008,"411 W WOODWARD AVE,EUSTIS,FL,32726",44228
105001,LAKE EUSTIS HEALTH AND REHABILITATION CENTER,411 W WOODWARD AVE,EUSTIS,FL,32726,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,HS DELTA GST TRUST #2,NO PERCENTAGE PROVIDED,since 06/30/2010,"411 W WOODWARD AVE,EUSTIS,FL,32726",44228
105001,LAKE EUSTIS HEALTH AND REHABILITATION CENTER,411 W WOODWARD AVE,EUSTIS,FL,32726,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,JS DELTA GST TRUST,NO PERCENTAGE PROVIDED,since 06/30/2010,"411 W WOODWARD AVE,EUSTIS,FL,32726",44228
105001,LAKE EUSTIS HEALTH AND REHABILITATION CENTER,411 W WOODWARD AVE,EUSTIS,FL,32726,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,SOUTHEAST US HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 06/30/2010,"411 W WOODWARD AVE,EUSTIS,FL,32726",44228
105001,LAKE EUSTIS HEALTH AND REHABILITATION CENTER,411 W WOODWARD AVE,EUSTIS,FL,32726,OFFICER,Individual,"BARNETT, BRETT",NOT APPLICABLE,since 08/01/2019,"411 W WOODWARD AVE,EUSTIS,FL,32726",44228
