NYS PFI,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider SSA County Code,Provider County Name,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 2 Health Deficiency Score,Rating Cycle 2 Number of Health Revisits,Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Total Health Score,Rating Cycle 3 Standard Health Survey Date,Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 3 Number of Standard Health Deficiencies,Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 3 Health Deficiency Score,Rating Cycle 3 Number of Health Revisits,Rating Cycle 3 Health Revisit Score,Rating Cycle 3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
1605,335570,AMSTERDAM NURSING HOME CORP (1992),1060 AMSTERDAM AVENUE,NEW YORK,NY,10025,2123167700,420,New York,Non profit - Corporation,409,323.3,,Medicare and Medicaid,N,AMSTERDAM NURSING HOME CORPORATION (1992),11/12/76,N,,N,N,N,Both,Yes,4,,3,,5,,5,,5,,3,,4,,,,2.51733,0.31226,0.96942,1.28168,3.799,0.0602,2.23818,0.80654,0.40804,3.45275,2.32034,0.28683,0.93627,3.5187,6/7/19,4,2,0,16,1,0,16,5/31/18,5,5,0,32,1,0,32,1/18/17,3,1,2,24,1,0,24,22.667,0,1,2,1,3250,0,1,"1060 AMSTERDAM AVENUE,NEW YORK,NY,10025",2/1/21
1430,335720,ATRIUM CENTER FOR REHABILITATION AND NURSING,630 E 104TH STREET,BROOKLYN,NY,11236,7182403100,331,Kings,For profit - Corporation,380,329.9,,Medicare and Medicaid,N,RIVER MANOR CORP.,8/6/92,N,,N,N,N,Both,Yes,5,,5,,5,,5,,3,,1,,1,,,,1.95791,0.73774,0.3764,1.11413,3.07205,0.06217,2.23499,0.94344,0.5337,3.71213,1.80727,0.57934,0.27793,2.64656,3/11/20,1,1,0,4,1,0,4,7/12/18,0,0,0,0,0,0,0,7/21/17,2,1,1,8,1,0,8,3.333,0,1,0,0,0,0,0,"630 E 104TH STREET,BROOKLYN,NY,11236",2/1/21
1227,335373,BAINBRIDGE NURSING & REHABILITATION CENTER,3518 BAINBRIDGE AVENUE,BRONX,NY,10467,7186551991,20,Bronx,For profit - Limited Liability company,200,183,,Medicare and Medicaid,N,BAINBRIDGE NURSING AND REHABILITATION CENTER,7/1/79,N,,N,N,N,Resident,Yes,5,,5,,5,,5,,5,,2,,2,,,,2.10489,0.57554,0.48584,1.06138,3.16627,0.10015,2.04301,0.86151,0.48728,3.3918,2.12552,0.49495,0.39292,2.98536,9/14/20,1,1,0,4,1,0,4,11/1/18,1,0,1,4,0,0,4,6/7/17,0,0,0,0,0,0,0,3.333,0,1,0,0,0,0,0,"3518 BAINBRIDGE AVENUE,BRONX,NY,10467",2/1/21
3401,335682,BEACH GARDENS REHAB AND NURSING CENTER,17 11 BROOKHAVEN AVENUE,FAR ROCKAWAY,NY,11691,7188698037,590,Queens,For profit - Corporation,163,107.9,,Medicare and Medicaid,N,HENDON GARDEN CENTER LLC,7/24/85,N,,N,N,N,Both,Yes,4,,4,,4,,5,,2,,4,,3,,,,3.09593,0.71368,0.76609,1.47978,4.57571,0.08863,2.03594,0.83638,0.43483,3.30715,3.13714,0.63219,0.69431,4.42469,3/14/19,2,2,0,12,1,0,12,6/20/17,2,2,0,8,1,0,8,5/16/16,5,5,0,24,1,0,24,12.667,0,0,0,0,0,0,0,"17 11 BROOKHAVEN AVENUE,FAR ROCKAWAY,NY,11691",2/1/21
1736,335726,BEACON REHABILITATION AND NURSING CENTER,140 BEACH 113TH STREET,ROCKAWAY PARK,NY,11694,7189456350,590,Queens,For profit - Corporation,120,82,,Medicare and Medicaid,N,"OPOP, LLC",2/5/92,N,,N,N,N,Resident,Yes,5,,5,,4,,4,,4,,3,,3,,,,2.2217,0.95085,0.71886,1.66972,3.89141,0.11514,2.24131,0.92525,0.5401,3.70665,2.04498,0.76138,0.52452,3.3574,7/12/19,1,0,1,4,0,0,4,10/16/17,1,1,0,4,1,0,4,9/8/16,0,0,0,0,0,0,0,3.333,0,1,0,0,0,0,0,"140 BEACH 113TH STREET,ROCKAWAY PARK,NY,11694",2/1/21
1409,335626,BEDFORD CENTER FOR NURSING AND REHABILITATION,40 HEYWARD STREET,BROOKLYN,NY,11249,7188586200,331,Kings,For profit - Limited Liability company,200,184.2,,Medicare and Medicaid,N,WILLIAMSBURG SERVICES LLC,8/14/78,N,,N,N,N,Both,Yes,3,,2,,5,,5,,5,,3,,3,,,,3.08535,0.82926,0.88479,1.71406,4.79941,0.07013,2.22482,0.92589,0.62621,3.77692,2.86099,0.66356,0.55681,4.06376,2/27/20,4,4,0,28,1,0,28,11/9/18,7,7,0,28,1,0,28,2/6/17,3,3,0,12,1,0,12,25.333,0,0,0,0,0,0,0,"40 HEYWARD STREET,BROOKLYN,NY,11249",2/1/21
1406,335558,BENSONHURST CENTER FOR REHAB AND HEALTHCARE,1740 84TH STREET,BROOKLYN,NY,11214,7182323666,331,Kings,For profit - Limited Liability company,200,178.4,,Medicare and Medicaid,N,"KFG OPERATING TWO, LLC",10/1/75,N,,N,N,N,Both,Yes,3,,2,,5,,5,,4,,2,,2,,,,2.04852,0.59849,0.9041,1.50259,3.55111,0.11688,2.31782,1.10253,0.89093,4.31128,1.82334,0.40217,0.39991,2.63412,2/19/20,9,9,0,56,1,0,56,6/19/18,0,0,0,0,0,0,0,12/1/16,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"1740 84TH STREET,BROOKLYN,NY,11214",2/1/21
1218,335201,BETH ABRAHAM CENTER FOR REHABILITATION AND NURSING,612 ALLERTON AVENUE,BRONX,NY,10467,7185194125,20,Bronx,For profit - Corporation,448,417.6,,Medicare and Medicaid,N,ABRAHAM OPERATIONS ASSOCIATES LLC,3/20/67,N,,N,N,N,Resident,Yes,2,,2,,5,,5,,5,,1,,1,,,,2.13258,1.00714,0.35259,1.35974,3.49232,0.10688,2.07431,0.83474,0.47185,3.3809,2.12099,0.89389,0.29448,3.30338,5/3/19,7,5,2,36,1,0,36,7/11/17,9,8,1,44,1,0,44,4/15/16,0,0,0,0,0,0,0,32.667,2,1,0,0,0,0,0,"612 ALLERTON AVENUE,BRONX,NY,10467",2/1/21
3156,335666,BEZALEL REHABILITATION AND NURSING CENTER,29 38 FAR ROCKAWAY BLVD,FAR ROCKAWAY,NY,11691,7184712600,590,Queens,Non profit - Corporation,120,96.5,,Medicare and Medicaid,N,BEZALEL NURSING HOME COMPANY,10/1/83,N,,N,N,N,None,Yes,2,,2,,4,,4,,5,,2,,2,,,,2.24183,0.61817,0.55047,1.16864,3.41047,0.1563,2.18449,0.85786,0.47726,3.51961,2.11719,0.53387,0.45454,3.09883,6/17/19,9,9,0,52,1,0,52,9/14/17,3,3,0,12,1,0,12,6/30/16,2,2,0,4,1,0,4,30.667,1,0,0,0,0,0,0,"29 38 FAR ROCKAWAY BLVD,FAR ROCKAWAY,NY,11691",2/1/21
1403,335470,BORO PARK CENTER FOR REHABILITATION AND HEALTHCARE,4915 10TH AVE,BROOKLYN,NY,11219,7188513700,331,Kings,For profit - Limited Liability company,510,433.8,,Medicare and Medicaid,N,BORO PARK OPERATING CO LLC,3/1/76,N,,N,N,N,Resident,Yes,4,,3,,5,,4,,5,,3,,3,,,,2.68906,0.61846,0.86279,1.48125,4.17031,0.08887,2.38171,0.99275,0.53301,3.90748,2.32926,0.46155,0.63791,3.41311,7/26/19,3,1,0,28,1,0,28,9/18/17,3,1,2,12,1,0,12,7/15/16,0,0,0,0,0,0,0,18,1,0,2,0,0,0,0,"4915 10TH AVE,BROOKLYN,NY,11219",2/1/21
